hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.121278876Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_org_id - v1" duration=1.057173ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.126036552Z level=info msg="Executing migration" id="drop index IDX_temp_user_code - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.127325384Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_code - v1" duration=1.288503ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.131763432Z level=info msg="Executing migration" id="drop index IDX_temp_user_status - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.132560712Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_status - v1" duration=798.51탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.137314917Z level=info msg="Executing migration" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.140598244Z level=info msg="Migration successfully executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1" duration=3.278817ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.145177474Z level=info msg="Executing migration" id="create temp_user v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.146025188Z level=info msg="Migration successfully executed" id="create temp_user v2" duration=842.033탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.150335605Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.151281068Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v2" duration=961.444탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.156398505Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.157162992Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v2" duration=765.837탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.161795346Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.162881501Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v2" duration=1.088105ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.167110607Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.167934409Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v2" duration=825.322탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.174218568Z level=info msg="Executing migration" id="copy temp_user v1 to v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.174680929Z level=info msg="Migration successfully executed" id="copy temp_user v1 to v2" duration=463.13탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.178919757Z level=info msg="Executing migration" id="drop temp_user_tmp_qwerty"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.179490677Z level=info msg="Migration successfully executed" id="drop temp_user_tmp_qwerty" duration=573.6탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.183791489Z level=info msg="Executing migration" id="Set created for temp users that will otherwise prematurely expire"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.184577197Z level=info msg="Migration successfully executed" id="Set created for temp users that will otherwise prematurely expire" duration=786.179탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.190016493Z level=info msg="Executing migration" id="create star table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.190623956Z level=info msg="Migration successfully executed" id="create star table" duration=608.023탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.195241984Z level=info msg="Executing migration" id="add unique index star.user_id_dashboard_id"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.196020241Z level=info msg="Migration successfully executed" id="add unique index star.user_id_dashboard_id" duration=779.188탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.200704766Z level=info msg="Executing migration" id="Add column dashboard_uid in star"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.202202357Z level=info msg="Migration successfully executed" id="Add column dashboard_uid in star" duration=1.49603ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.207494559Z level=info msg="Executing migration" id="Add column org_id in star"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.209422717Z level=info msg="Migration successfully executed" id="Add column org_id in star" duration=1.927819ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.21415457Z level=info msg="Executing migration" id="Add column updated in star"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.215673293Z level=info msg="Migration successfully executed" id="Add column updated in star" duration=1.519763ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.21997451Z level=info msg="Executing migration" id="add index in star table on dashboard_uid, org_id and user_id columns"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.220939724Z level=info msg="Migration successfully executed" id="add index in star table on dashboard_uid, org_id and user_id columns" duration=965.655탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.2259259Z level=info msg="Executing migration" id="create org table v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.226519892Z level=info msg="Migration successfully executed" id="create org table v1" duration=595.572탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.231043102Z level=info msg="Executing migration" id="create index UQE_org_name - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.231997875Z level=info msg="Migration successfully executed" id="create index UQE_org_name - v1" duration=957.214탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.236468991Z level=info msg="Executing migration" id="create org_user table v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.237365569Z level=info msg="Migration successfully executed" id="create org_user table v1" duration=898.699탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.242251091Z level=info msg="Executing migration" id="create index IDX_org_user_org_id - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.243094255Z level=info msg="Migration successfully executed" id="create index IDX_org_user_org_id - v1" duration=844.654탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.247462221Z level=info msg="Executing migration" id="create index UQE_org_user_org_id_user_id - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.248368001Z level=info msg="Migration successfully executed" id="create index UQE_org_user_org_id_user_id - v1" duration=906.579탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.252846582Z level=info msg="Executing migration" id="create index IDX_org_user_user_id - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.254076619Z level=info msg="Migration successfully executed" id="create index IDX_org_user_user_id - v1" duration=1.230577ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.258846406Z level=info msg="Executing migration" id="Update org table charset"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.258914032Z level=info msg="Migration successfully executed" id="Update org table charset" duration=69.526탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.263794373Z level=info msg="Executing migration" id="Update org_user table charset"
